PERIOD,DATE,SITE,NDVI
29,3/24/2017,PM15,4030
29,3/24/2017,PM1,5153
29,3/24/2017,PM6,4984
29,3/24/2017,PM21,4371
30,4/9/2017,PM3,5898
30,4/9/2017,PM8,5885
30,4/9/2017,PM4,5586
30,4/9/2017,PM9,5315
30,4/9/2017,PM10,4277
30,4/9/2017,PM14,4739
30,4/9/2017,PM18,5453
30,4/9/2017,PM22,6446
30,4/9/2017,PM5,5658
30,4/9/2017,PM2,5685
30,4/9/2017,PM19,5076
30,4/9/2017,PM7,5431
30,4/9/2017,PM13,4926
30,4/9/2017,PM15,4621
30,4/9/2017,PM20,5497
30,4/9/2017,PM17,5596
30,4/9/2017,PM21,5709
30,4/9/2017,PM12,5225
30,4/9/2017,PM16,5013
30,4/9/2017,PM11,4892
30,4/9/2017,PM6,5155
30,4/9/2017,PM1,5709
31,4/25/2017,PM18,8805
31,4/25/2017,PM10,7713
31,4/25/2017,PM12,7642
31,4/25/2017,PM9,8649
31,4/25/2017,PM13,8644
31,4/25/2017,PM5,8873
31,4/25/2017,PM2,8257
31,4/25/2017,PM8,8795
31,4/25/2017,PM4,8946
31,4/25/2017,PM3,8822
31,4/25/2017,PM14,7596
31,4/25/2017,PM19,8907
31,4/25/2017,PM11,8868
31,4/25/2017,PM17,8856
31,4/25/2017,PM7,8791
31,4/25/2017,PM1,8657
31,4/25/2017,PM20,8947
31,4/25/2017,PM21,8980
31,4/25/2017,PM15,8002
31,4/25/2017,PM6,8851
31,4/25/2017,PM22,8783
31,4/25/2017,PM16,8944
32,5/11/2017,PM13,8293
32,5/11/2017,PM12,8031
32,5/11/2017,PM2,7735
32,5/11/2017,PM10,7739
32,5/11/2017,PM3,8655
32,5/11/2017,PM18,9029
32,5/11/2017,PM14,8488
32,5/11/2017,PM22,8989
32,5/11/2017,PM11,9057
32,5/11/2017,PM8,8909
32,5/11/2017,PM7,8906
32,5/11/2017,PM9,8723
32,5/11/2017,PM17,9142
32,5/11/2017,PM4,9051
32,5/11/2017,PM20,8807
32,5/11/2017,PM5,8911
32,5/11/2017,PM21,9080
32,5/11/2017,PM15,8692
32,5/11/2017,PM1,8733
32,5/11/2017,PM16,9048
32,5/11/2017,PM19,9072
32,5/11/2017,PM6,8990
33,5/27/2017,PM3,9028
33,5/27/2017,PM2,8803
33,5/27/2017,PM6,9207
33,5/27/2017,PM9,8226
33,5/27/2017,PM13,8647
33,5/27/2017,PM8,8780
33,5/27/2017,PM18,8887
33,5/27/2017,PM22,8793
33,5/27/2017,PM17,8742
33,5/27/2017,PM15,8139
33,5/27/2017,PM14,7988
33,5/27/2017,PM7,8866
33,5/27/2017,PM10,8549
33,5/27/2017,PM21,9179
33,5/27/2017,PM12,8588
33,5/27/2017,PM19,9116
33,5/27/2017,PM1,8840
33,5/27/2017,PM16,9068
33,5/27/2017,PM4,9059
33,5/27/2017,PM11,9192
33,5/27/2017,PM5,8984
33,5/27/2017,PM20,9202
34,6/12/2017,PM18,8626
34,6/12/2017,PM3,9195
34,6/12/2017,PM12,8755
34,6/12/2017,PM2,8805
34,6/12/2017,PM22,8705
34,6/12/2017,PM6,9112
34,6/12/2017,PM4,9029
34,6/12/2017,PM8,8060
34,6/12/2017,PM10,7965
34,6/12/2017,PM13,8046
34,6/12/2017,PM21,9156
34,6/12/2017,PM19,9262
34,6/12/2017,PM1,8691
34,6/12/2017,PM17,8896
34,6/12/2017,PM11,9206
34,6/12/2017,PM7,9013
34,6/12/2017,PM15,7493
34,6/12/2017,PM14,7217
34,6/12/2017,PM9,8092
34,6/12/2017,PM16,9079
34,6/12/2017,PM20,9178
34,6/12/2017,PM5,9088
35,6/28/2017,PM3,8780
35,6/28/2017,PM18,8757
35,6/28/2017,PM14,7977
35,6/28/2017,PM7,8933
35,6/28/2017,PM16,8881
35,6/28/2017,PM12,7840
35,6/28/2017,PM9,7943
35,6/28/2017,PM22,8762
35,6/28/2017,PM4,8948
35,6/28/2017,PM2,8069
35,6/28/2017,PM6,8858
35,6/28/2017,PM13,8528
35,6/28/2017,PM15,8343
35,6/28/2017,PM19,8865
35,6/28/2017,PM8,8622
35,6/28/2017,PM1,8723
35,6/28/2017,PM21,8915
35,6/28/2017,PM11,8993
35,6/28/2017,PM17,8801
35,6/28/2017,PM10,8097
35,6/28/2017,PM20,8863
35,6/28/2017,PM5,8880
36,7/14/2017,PM18,8798
36,7/14/2017,PM12,8615
36,7/14/2017,PM3,8557
36,7/14/2017,PM7,8733
36,7/14/2017,PM22,9256
36,7/14/2017,PM11,9068
36,7/14/2017,PM2,8577
36,7/14/2017,PM13,8556
36,7/14/2017,PM4,8804
36,7/14/2017,PM9,8238
36,7/14/2017,PM8,8566
36,7/14/2017,PM6,8798
36,7/14/2017,PM16,8995
36,7/14/2017,PM5,8792
36,7/14/2017,PM19,8785
36,7/14/2017,PM10,8336
36,7/14/2017,PM1,8503
36,7/14/2017,PM14,7981
36,7/14/2017,PM15,8183
36,7/14/2017,PM17,8791
36,7/14/2017,PM21,9146
36,7/14/2017,PM20,9061
37,7/30/2017,PM7,8570
37,7/30/2017,PM22,8589
37,7/30/2017,PM8,8523
37,7/30/2017,PM17,8869
37,7/30/2017,PM18,8757
37,7/30/2017,PM3,8750
37,7/30/2017,PM4,8735
37,7/30/2017,PM2,8540
37,7/30/2017,PM14,7937
37,7/30/2017,PM16,8926
37,7/30/2017,PM15,8083
37,7/30/2017,PM6,8774
37,7/30/2017,PM1,8565
37,7/30/2017,PM9,7894
37,7/30/2017,PM5,8703
37,7/30/2017,PM12,8000
37,7/30/2017,PM19,8667
37,7/30/2017,PM21,8901
37,7/30/2017,PM11,8992
37,7/30/2017,PM20,8700
37,7/30/2017,PM10,8439
37,7/30/2017,PM13,8417
38,8/15/2017,PM17,8844
38,8/15/2017,PM1,8884
38,8/15/2017,PM7,8678
38,8/15/2017,PM2,8344
38,8/15/2017,PM22,8863
38,8/15/2017,PM8,8896
38,8/15/2017,PM6,9075
38,8/15/2017,PM3,9040
38,8/15/2017,PM4,9071
38,8/15/2017,PM16,9164
38,8/15/2017,PM20,8946
38,8/15/2017,PM12,8399
38,8/15/2017,PM15,8805
38,8/15/2017,PM9,8826
38,8/15/2017,PM18,8905
38,8/15/2017,PM10,8271
38,8/15/2017,PM14,8396
38,8/15/2017,PM21,9075
38,8/15/2017,PM11,9150
38,8/15/2017,PM19,9025
38,8/15/2017,PM13,8571
38,8/15/2017,PM5,9086
39,8/31/2017,PM17,8738
39,8/31/2017,PM12,8151
39,8/31/2017,PM11,8902
39,8/31/2017,PM2,8319
39,8/31/2017,PM7,8771
39,8/31/2017,PM3,8613
39,8/31/2017,PM16,8768
39,8/31/2017,PM6,8866
39,8/31/2017,PM22,8426
39,8/31/2017,PM4,8679
39,8/31/2017,PM8,8631
39,8/31/2017,PM10,8317
39,8/31/2017,PM1,8219
39,8/31/2017,PM5,8749
39,8/31/2017,PM21,8772
39,8/31/2017,PM18,8535
39,8/31/2017,PM14,8449
39,8/31/2017,PM19,8836
39,8/31/2017,PM9,8011
39,8/31/2017,PM13,8490
39,8/31/2017,PM15,7743
39,8/31/2017,PM20,8676
40,9/16/2017,PM2,8464
40,9/16/2017,PM17,8773
40,9/16/2017,PM3,8313
40,9/16/2017,PM10,7823
40,9/16/2017,PM6,8799
40,9/16/2017,PM22,8509
40,9/16/2017,PM11,8854
40,9/16/2017,PM21,8659
40,9/16/2017,PM1,8213
40,9/16/2017,PM4,8578
40,9/16/2017,PM12,8339
40,9/16/2017,PM7,8698
40,9/16/2017,PM8,8558
40,9/16/2017,PM5,8714
40,9/16/2017,PM9,8109
40,9/16/2017,PM19,8819
40,9/16/2017,PM14,7599
40,9/16/2017,PM16,8875
40,9/16/2017,PM15,7780
40,9/16/2017,PM20,8763
40,9/16/2017,PM13,8404
40,9/16/2017,PM18,8837
41,10/2/2017,PM1,7956
41,10/2/2017,PM12,7906
41,10/2/2017,PM11,8709
41,10/2/2017,PM17,8355
41,10/2/2017,PM8,8118
41,10/2/2017,PM9,7108
41,10/2/2017,PM7,8322
41,10/2/2017,PM4,8155
41,10/2/2017,PM10,7383
41,10/2/2017,PM15,8170
41,10/2/2017,PM19,8322
41,10/2/2017,PM5,8470
41,10/2/2017,PM21,8517
41,10/2/2017,PM22,8059
41,10/2/2017,PM20,8239
41,10/2/2017,PM2,7717
41,10/2/2017,PM3,8350
41,10/2/2017,PM18,8418
41,10/2/2017,PM6,8530
41,10/2/2017,PM13,8364
41,10/2/2017,PM14,7718
41,10/2/2017,PM16,8684
42,10/18/2017,PM13,8116
42,10/18/2017,PM19,8431
42,10/18/2017,PM15,6893
42,10/18/2017,PM11,8456
