GROUP,SITE,DATE,TIME,SPECIES,COUNT,ANTLERED,YOUNG,DATE.TIME
1,PM5,1/27/2018,5:14,deer,1,0,0,1/27/2018 17:14
1,PM5,1/28/2018,9:37,deer,3,0,0,1/28/2018 21:37
1,PM5,1/29/2018,6:06,deer,1,0,0,1/29/2018 18:06
1,PM5,1/29/2018,6:10,deer,1,0,0,1/29/2018 18:10
1,PM5,1/29/2018,6:16,deer,1,0,0,1/29/2018 18:16
1,PM5,1/30/2018,10:52,deer,1,0,0,1/30/2018 22:52
1,PM5,1/31/2018,3:59,deer,1,0,0,1/31/2018 15:59
1,PM5,1/31/2018,4:15,deer,1,0,0,1/31/2018 16:15
1,PM5,1/31/2018,4:19,deer,3,0,0,1/31/2018 16:19
1,PM5,1/31/2018,4:21,deer,2,0,0,1/31/2018 16:21
1,PM5,1/31/2018,4:24,deer,1,0,0,1/31/2018 16:24
1,PM5,1/31/2018,4:26,deer,1,0,0,1/31/2018 16:26
1,PM5,2/3/2018,5:30,deer,1,0,0,2/3/2018 17:30
1,PM5,2/3/2018,5:48,deer,1,0,0,2/3/2018 17:48
1,PM5,2/4/2018,7:22,deer,1,0,0,2/4/2018 7:22
1,PM5,2/4/2018,1:55,deer,1,0,0,2/4/2018 13:55
1,PM5,2/6/2018,8:05,deer,1,0,0,2/6/2018 8:05
1,PM5,2/6/2018,8:10,deer,1,0,0,2/6/2018 8:10
1,PM5,2/7/2018,4:47,deer,5,0,0,2/7/2018 16:47
1,PM5,2/7/2018,5:24,deer,1,1,0,2/7/2018 17:24
1,PM5,2/8/2018,5:52,deer,1,1,0,2/8/2018 17:52
1,PM5,2/9/2018,5:48,deer,1,0,0,2/9/2018 17:48
1,PM5,2/12/2018,12:27,deer,2,0,0,2/12/2018 0:27
1,PM5,2/12/2018,3:55,deer,1,0,0,2/12/2018 3:55
1,PM5,2/12/2018,5:05,deer,4,0,0,2/12/2018 5:05
1,PM5,2/12/2017,5:46,deer,1,0,0,2/12/2017 5:46
1,PM5,2/12/2018,8:16,deer,1,0,0,2/12/2018 8:16
1,PM5,2/12/2018,9:42,deer,2,0,0,2/12/2018 9:42
1,PM5,2/16/2018,4:10,deer,1,0,0,2/16/2018 4:10
1,PM5,2/17/2018,7:17,deer,1,0,0,2/17/2018 7:17
1,PM5,2/17/2018,11:11,deer,2,0,0,2/17/2018 23:11
1,PM5,2/17/2018,11:18,deer,1,0,0,2/17/2018 23:18
1,PM5,2/17/2018,11:42,deer,2,0,0,2/17/2018 23:42
1,PM5,2/19/2018,7:31,deer,2,0,0,2/19/2018 7:31
1,PM5,2/19/2018,7:47,deer,1,0,1,2/19/2018 7:47
1,PM5,2/21/2018,7:15,deer,1,0,0,2/21/2018 7:15
1,PM5,2/23/2018,10:05,deer,2,0,0,2/23/2018 22:05
1,PM5,2/26/2018,8:49,deer,2,0,0,2/26/2018 8:49
1,PM5,2/26/2018,6:09,deer,1,0,0,2/26/2018 18:09
1,PM5,2/26/2018,6:11,deer,1,0,0,2/26/2018 18:11
1,PM5,2/26/2018,6:16,deer,1,0,0,2/26/2018 18:16
1,PM5,2/27/2018,7:27,deer,1,0,0,2/27/2018 7:27
1,PM5,3/1/2018,6:32,deer,1,0,0,3/1/2018 6:32
1,PM5,3/1/2018,5:20,deer,1,0,0,3/1/2018 17:20
1,PM5,3/1/2018,5:29,deer,2,0,0,3/1/2018 17:29
1,PM5,3/4/2018,3:14,deer,1,0,0,3/4/2018 3:14
1,PM5,3/5/2018,6:32,deer,1,1,0,3/5/2018 6:32
1,PM5,3/5/2018,7:20,deer,1,1,0,3/5/2018 7:20
1,PM5,3/5/2018,5:28,deer,1,0,0,3/5/2018 17:28
1,PM5,3/5/2018,5:59,deer,1,0,0,3/5/2018 17:59
1,PM5,3/5/2018,6:17,deer,1,0,0,3/5/2018 18:17
1,PM5,3/6/2018,5:50,deer,1,0,1,3/6/2018 17:50
1,PM5,3/6/2018,5:56,deer,3,0,1,3/6/2018 17:56
1,PM5,3/10/2018,5:20,deer,2,0,0,3/10/2018 5:20
1,PM5,3/10/2018,6:21,deer,3,0,0,3/10/2018 6:21
1,PM5,3/10/2018,6:36,deer,2,0,0,3/10/2018 6:36
1,PM5,3/11/2018,4:28,deer,1,0,0,3/11/2018 4:28
1,PM5,3/12/2018,5:18,deer,1,0,0,3/12/2018 17:18
1,PM5,3/12/2018,5:21,deer,8,0,0,3/12/2018 17:21
1,PM5,3/12/2018,5:23,deer,3,0,0,3/12/2018 17:23
1,PM5,3/17/2018,8:18,deer,1,0,0,3/17/2018 8:18
1,PM5,3/17/2018,8:57,deer,2,0,0,3/17/2018 8:57
1,PM5,3/19/2018,8:32,deer,1,0,0,3/19/2018 8:32
1,PM5,3/19/2018,8:34,deer,1,0,0,3/19/2018 8:34
1,PM5,3/19/2018,7:49,deer,1,0,0,3/19/2018 19:49
1,PM5,3/19/2018,7:57,deer,2,0,0,3/19/2018 19:57
1,PM5,3/19/2018,8:14,deer,1,0,0,3/19/2018 20:14
1,PM5,3/23/2018,9:23,deer,1,0,0,3/23/2018 9:23
1,PM5,3/24/2018,8:33,deer,3,0,0,3/24/2018 8:33
1,PM5,3/24/2018,8:38,deer,2,0,0,3/24/2018 8:38
1,PM5,3/24/2018,9:29,deer,1,0,1,3/24/2018 9:29
